Country,Original_id,Authors,Voting,Date
UKRAINE,2148,['France'],Y,2017-01-27
POLAND,2218,['United States'],Y,2018-04-13
MALTA,2531,"['Afghanistan', 'Albania', 'Algeria', 'Andorra', 'Argentina', 'Armenia', 'Australia', 'Austria', 'Azerbaijan', 'Bahamas', 'Bahrain', 'Bangladesh', 'Belgium', 'Belize', 'Bosnia and Herzegovina', 'Brazil', 'Bulgaria', 'Burundi', 'Cabo Verde', 'Cambodia', 'Canada', 'Chile', 'Colombia', 'Costa Rica', ""Côte d'Ivoire"", 'Croatia', 'Czechia', 'Democratic Republic of the Congo', 'Denmark', 'Djibouti', 'Dominican Republic', 'Ecuador', 'El Salvador', 'Estonia', 'Fiji', 'Finland', 'France', 'Georgia', 'Germany', 'Ghana', 'Greece', 'Guatemala', 'Guyana', 'Honduras', 'Hungary', 'Iceland', 'Indonesia', 'Ireland', 'Italy', 'Japan', 'Jordan', 'Kenya', 'Kuwait', 'Latvia', 'Lebanon', 'Liberia', 'Liechtenstein', 'Lithuania', 'Luxembourg', 'Maldives', 'Malta', 'Mexico', 'Monaco', 'Montenegro', 'Morocco', 'Mozambique', 'Myanmar', 'Netherlands (Kingdom of the)', 'New Zealand', 'Nigeria', 'North Macedonia', 'Norway', 'Pakistan', 'Palau', 'Peru', 'Poland', 'Portugal', 'Qatar', 'Republic of Korea', 'Republic of Moldova', 'Romania', 'Saint Vincent and the Grenadines', 'San Marino', 'Sierra Leone', 'Singapore', 'Slovakia', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Timor-Leste', 'Tunisia', 'Ukraine', 'United Arab Emirates', 'United Kingdom', 'Uruguay', 'Viet Nam']",Y,2024-05-24
POLAND,2268,['United Kingdom'],Y,2019-03-27
EGYPT,2152,['United Kingdom'],Y,2017-02-23
DOMINICAN REPUBLIC,2264,"['Algeria', 'Angola', 'Austria', 'Belgium', 'Bolivia (Plurinational State of)', 'Bulgaria', 'Burkina Faso', 'Canada', 'Colombia', 'Congo', 'Costa Rica', ""Côte d'Ivoire"", 'Croatia', 'Cyprus', 'Czechia', 'Denmark', 'Dominican Republic', 'Ecuador', 'Egypt', 'Equatorial Guinea', 'Eritrea', 'Estonia', 'Ethiopia', 'Finland', 'France', 'Gabon', 'Gambia', 'Germany', 'Greece', 'Guinea', 'Hungary', 'Iceland', 'Indonesia', 'Ireland', 'Italy', 'Japan', 'Kazakhstan', 'Kenya', 'Kuwait', 'Latvia', 'Lebanon', 'Liberia', 'Libya', 'Liechtenstein', 'Lithuania', 'Luxembourg', 'Malta', 'Mauritius', 'Monaco', 'Morocco', 'Mozambique', 'Namibia', 'Nigeria', 'Norway', 'Papua New Guinea', 'Peru', 'Poland', 'Portugal', 'Republic of Korea', 'Republic of Moldova', 'Romania', 'Rwanda', 'Senegal', 'Serbia', 'Sierra Leone', 'South Africa', 'Spain', 'Sudan', 'Sweden', 'Switzerland', 'Togo', 'Tunisia', 'Turkey', 'Uganda', 'Ukraine', 'United Arab Emirates', 'United Republic of Tanzania']",Y,2019-02-27
BELGIUM,2278,['United States'],Y,2019-05-30
KENYA,2385,"['Austria', 'Belgium', 'Bulgaria', 'Croatia', 'Cyprus', 'Czechia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Greece', 'Hungary', 'Ireland', 'Italy', 'Japan', 'Latvia', 'Lithuania', 'Luxembourg', 'Malta', 'Montenegro', 'Netherlands', 'Poland', 'Portugal', 'Romania', 'Slovakia', 'Slovenia', 'Spain', 'Sweden', 'Ukraine']",Y,2021-06-03
BRAZIL,2439,['United Kingdom'],Y,2022-06-03
INDIA,2380,['United Kingdom'],Y,2021-05-11
